type,street,city,state,zip_code,beds,total_baths,sqft,year_built,sold_price,sold_date,county,stories,parking_garage
SINGLE_FAMILY,8128 Anchor Point Dr,Reno,NV,89506,4,2,1317,1996,409000,7/8/2024,Washoe,1,2
SINGLE_FAMILY,15160 Redmond Loop,Reno,NV,89511,5,4,3666,2005,1732000,7/3/2024,Washoe,1,4
SINGLE_FAMILY,1811 Mountain Vista Way,Reno,NV,89519,3,2.5,1757,1991,635000,7/3/2024,Washoe,2,2
SINGLE_FAMILY,2788 Ashley Park Dr,Sparks,NV,89434,2,2.5,1158,1987,320000,7/11/2024,Washoe,2,2
SINGLE_FAMILY,7920 Opal Station Dr,Reno,NV,89506,4,3,2358,2006,613900,7/3/2024,Washoe,2,3
SINGLE_FAMILY,2865 Scholl Dr,Reno,NV,89503,3,2,1368,1970,499000,7/11/2024,Washoe,1,2
SINGLE_FAMILY,5573 Diablo Ct,Sun Valley,NV,89433,3,2,1696,1996,452000,7/11/2024,Washoe,1,2
SINGLE_FAMILY,2197 Berkich Ct,Reno,NV,89521,3,2,1729,2016,660000,7/8/2024,Washoe,1,2
SINGLE_FAMILY,8957 Quail Falls Dr,Reno,NV,89506,3,2.5,1995,2022,497650,7/10/2024,Washoe,2,2
SINGLE_FAMILY,7140 Mount Nimba St,Sparks,NV,89436,4,3,1885,2024,560000,7/5/2024,Washoe,1,2
SINGLE_FAMILY,3623 Keogh Dr,Sparks,NV,89431,4,3,2118,1978,499900,7/11/2024,Washoe,2,2
SINGLE_FAMILY,9691 Shadowstone Way,Reno,NV,89521,3,2.5,2410,2000,695000,7/11/2024,Washoe,1,3
CONDOS,200 W 2nd St,Reno,NV,89501,0,1,466,1978,205999,7/3/2024,Washoe,4,0
SINGLE_FAMILY,1802 Red Loam Rd,Sparks,NV,89436,4,3,2749,2023,695995,7/10/2024,Washoe,1,3
SINGLE_FAMILY,580 Beckfield Ct,Reno,NV,89521,4,2,1835,2004,685000,7/11/2024,Washoe,1,2
SINGLE_FAMILY,2378 Albatross Way,Sparks,NV,89441,4,3,2502,2003,645000,7/11/2024,Washoe,1,3
TOWNHOMES,2620 Dana Kristin Ln,Reno,NV,89503,2,2.5,1480,2009,415000,7/11/2024,Washoe,3,3
SINGLE_FAMILY,1415 Ebbetts Dr,Reno,NV,89503,4,3,1932,1965,630000,7/11/2024,Washoe,2,2
SINGLE_FAMILY,1333 Antelope Valley Rd,Reno,NV,89506,3,2.5,1700,2024,745000,7/7/2024,Washoe,1,3
SINGLE_FAMILY,1056 E Greenbrae Dr,Sparks,NV,89434,3,2,1415,1973,415000,7/8/2024,Washoe,1,2
CONDOS,2300 Dickerson Rd,Reno,NV,89503,2,2,1195,1977,267000,7/3/2024,Washoe,1,0
SINGLE_FAMILY,3681 Lightspeed Ct,Sparks,NV,89436,4,3,2387,2017,875000,7/8/2024,Washoe,1,3
SINGLE_FAMILY,941 Tyner Way,Incline Village,NV,89451,4,3,2310,2023,2200000,7/3/2024,Washoe,2,2
SINGLE_FAMILY,10561 Fort Morgan Way,Reno,NV,89521,5,3,2560,2004,750000,7/3/2024,Washoe,2,3
SINGLE_FAMILY,15725 Toll Rd,Reno,NV,89521,2,2,962,1949,325000,7/10/2024,Washoe,1,0
SINGLE_FAMILY,560 Connemaras Ct,Reno,NV,89521,4,2.5,2333,2006,690000,7/8/2024,Washoe,2,2
SINGLE_FAMILY,1535 Springfield Park Dr,Reno,NV,89523,3,2,1362,2002,569000,7/9/2024,Washoe,1,2
SINGLE_FAMILY,445 Lipizzan Ln,Reno,NV,89508,3,2,2256,2007,715000,7/9/2024,Washoe,1,3
SINGLE_FAMILY,171 Shetland Cir,Reno,NV,89508,3,2,1500,1995,594900,7/8/2024,Washoe,1,2
SINGLE_FAMILY,2800 E Lake Ridge Shrs,Reno,NV,89519,3,4.5,4615,1989,2850000,7/9/2024,Washoe,1,4
SINGLE_FAMILY,671 Beckwourth Dr,Reno,NV,89506,3,2,1943,2006,543000,7/9/2024,Washoe,1,3
SINGLE_FAMILY,7892 Corundum Dr,Sparks,NV,89436,3,2.5,1547,2024,491335,7/3/2024,Washoe,2,2
SINGLE_FAMILY,9905 Hafflinger Ln,Reno,NV,89521,2,2,1661,2019,802500,7/9/2024,Washoe,1,2
CONDOS,9227 Lone Wolf Cir,Reno,NV,89506,3,2.5,1392,2004,370000,7/10/2024,Washoe,2,2
CONDOS,280 Island Ave,Reno,NV,89501,1,1.5,869,1961,345000,7/10/2024,Washoe,1,0
SINGLE_FAMILY,540 Citadel Way,Reno,NV,89503,4,3,3542,1992,785000,7/5/2024,Washoe,2,2
SINGLE_FAMILY,632 Allerton Way,Sparks,NV,89441,4,3,2547,2024,624950,7/5/2024,Washoe,1,3
CONDOS,2138 Roundhouse Rd,Sparks,NV,89431,1,1,548,1980,175000,7/10/2024,Washoe,1,0
SINGLE_FAMILY,570 Richards Way,Sparks,NV,89431,3,2,1131,1960,412915,7/10/2024,Washoe,1,1
SINGLE_FAMILY,9622 Canyon Meadows Dr,Reno,NV,89506,3,2,1394,2002,431000,7/11/2024,Washoe,1,2
SINGLE_FAMILY,1740 Boulder Ridge Trl,Reno,NV,89523,5,6,4050,2022,1500000,7/10/2024,Washoe,2,4
SINGLE_FAMILY,4276 Muirwood Cir,Reno,NV,89509,5,3.5,4716,1990,1535000,7/11/2024,Washoe,2,3
SINGLE_FAMILY,10453 Summershade Ln,Reno,NV,89521,3,2,1645,2000,605000,7/10/2024,Washoe,1,2
SINGLE_FAMILY,5344 Valley Vista Dr,Reno,NV,89431,5,4,5621,1976,1295000,7/5/2024,Washoe,2,2
